Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,494E+04",40.0,0.03,321.76,6.36,0.020,1.6152,0.502,0.019365
2,357.9,"8,508E+04",40.0,0.0426,320.85,5.7257,0.018,1.6066,0.501,0.019263
3,462,"8,519E+04",40.0,0.0605,320.92,5.4021,0.017,1.6055,0.5,0.01925
4,535.3,"8,526E+04",40.0,0.0859,321.59,5.1835,0.016,1.6084,0.5,0.019284
5,586.9,"8,531E+04",40.0,0.122,322.01,4.7735,0.015,1.6103,0.5,0.019307
6,623.2,"8,535E+04",40.0,0.173,322.68,4.6092,0.014,1.6136,0.5,0.019346
7,648.8,"8,537E+04",40.0,0.246,323.28,4.2779,0.013,1.6166,0.5,0.019382
8,666.9,"8,539E+04",40.0,0.349,323.85,4.063,0.013,1.6194,0.5,0.019416
9,679.5,"8,54E+04",40.0,0.496,324.29,3.8841,0.012,1.6216,0.5,0.019442
10,688.5,"8,541E+04",40.0,0.704,324.05,3.3989,0.010,1.6203,0.5,0.019427
11,694.8,"8,542E+04",40.0,1,324.89,3.225,0.010,1.6245,0.5,0.019477
