Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,608E+04",25.0,0.03,9.9002,0.61814,0.062,0.049785,0.502,0.0005969
2,357.9,"9,623E+04",25.0,0.0426,9.8827,0.71069,0.072,0.049607,0.501,0.00059477
3,462,"9,633E+04",25.0,0.0605,9.8737,0.83475,0.085,0.049567,0.5,0.00059428
4,535.3,"9,64E+04",25.0,0.0859,9.9687,0.98211,0.099,0.050092,0.5,0.00060058
5,586.9,"9,646E+04",25.0,0.122,9.9618,1.1166,0.112,0.050123,0.5,0.00060096
6,623.2,"9,649E+04",25.0,0.173,9.9876,1.256,0.126,0.050332,0.5,0.00060346
7,648.8,"9,652E+04",25.0,0.246,9.9681,1.3953,0.140,0.050326,0.5,0.00060339
8,666.9,"9,654E+04",25.0,0.349,10.078,1.5886,0.158,0.051012,0.5,0.0006116
9,679.5,"9,655E+04",25.0,0.496,10.235,1.815,0.177,0.051974,0.5,0.00062314
10,688.5,"9,656E+04",25.0,0.704,9.9421,1.6557,0.167,0.050395,0.5,0.00060421
11,694.8,"9,656E+04",25.0,1,10.59,2.0297,0.192,0.053916,0.5,0.00064643
