Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,072E+05",10.0,0.03,4.3922,0.38782,0.088,0.02213,0.502,0.00026533
2,357.9,"1,074E+05",10.0,0.0426,4.4859,0.64788,0.144,0.022692,0.501,0.00027207
3,462,"1,075E+05",10.0,0.0605,4.473,0.88627,0.198,0.02281,0.5,0.00027348
4,535.3,"1,075E+05",10.0,0.0859,4.2718,1.1017,0.258,0.022061,0.5,0.0002645
5,586.9,"1,076E+05",10.0,0.122,4.1008,1.3089,0.319,0.021524,0.5,0.00025807
6,623.2,"1,076E+05",10.0,0.173,3.9469,1.5538,0.394,0.021209,0.5,0.00025428
7,648.8,"1,077E+05",10.0,0.246,3.1182,1.4898,0.478,0.017279,0.5,0.00020717
8,666.9,"1,077E+05",10.0,0.349,3.9569,2.4741,0.625,0.023334,0.5,0.00027976
9,679.5,"1,077E+05",10.0,0.496,3.9241,2.722,0.694,0.023879,0.5,0.0002863
10,688.5,"1,077E+05",10.0,0.704,2.4305,2.1289,0.876,0.016155,0.5,0.00019369
11,694.8,"1,077E+05",10.0,1,3.0648,2.7214,0.888,0.020493,0.5,0.00024571
