Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"7,008E+04",60.0,0.03,1066.8,16.939,0.016,5.3547,0.502,0.0642
2,357.9,"7,023E+04",60.0,0.0426,1063.8,13.865,0.013,5.3263,0.501,0.06386
3,462,"7,033E+04",60.0,0.0605,1064.6,13.302,0.012,5.3259,0.5,0.063855
4,535.3,"7,04E+04",60.0,0.0859,1065.9,12.138,0.011,5.3307,0.5,0.063912
5,586.9,"7,045E+04",60.0,0.122,1067.6,11.509,0.011,5.3388,0.5,0.06401
6,623.2,"7,049E+04",60.0,0.173,1069.8,10.931,0.010,5.3492,0.5,0.064134
7,648.8,"7,052E+04",60.0,0.246,1072,10.855,0.010,5.3605,0.5,0.06427
8,666.9,"7,053E+04",60.0,0.349,1074.3,10.61,0.010,5.3718,0.5,0.064405
9,679.5,"7,055E+04",60.0,0.496,1076.8,10.525,0.010,5.3842,0.5,0.064554
10,688.5,"7,056E+04",60.0,0.704,1081.6,11.747,0.011,5.4085,0.5,0.064845
11,694.8,"7,056E+04",60.0,1,1084.5,11.697,0.011,5.4227,0.5,0.065016
