Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,122E+04",45.0,0.03,494.25,9.5043,0.019,2.481,0.502,0.029746
2,357.9,"8,137E+04",45.0,0.0426,493.09,7.862,0.016,2.4691,0.501,0.029603
3,462,"8,147E+04",45.0,0.0605,493.09,7.4434,0.015,2.4668,0.5,0.029576
4,535.3,"8,155E+04",45.0,0.0859,493.86,7.1082,0.014,2.4699,0.5,0.029613
5,586.9,"8,16E+04",45.0,0.122,494.96,6.8144,0.014,2.4751,0.5,0.029676
6,623.2,"8,163E+04",45.0,0.173,496.24,6.6497,0.013,2.4814,0.5,0.029751
7,648.8,"8,166E+04",45.0,0.246,497.49,6.2984,0.013,2.4876,0.5,0.029826
8,666.9,"8,168E+04",45.0,0.349,498.84,5.9523,0.012,2.4944,0.5,0.029907
9,679.5,"8,169E+04",45.0,0.496,499.78,5.3449,0.011,2.499,0.5,0.029962
10,688.5,"8,17E+04",45.0,0.704,501.88,5.7065,0.011,2.5096,0.5,0.030088
11,694.8,"8,171E+04",45.0,1,503.35,5.3902,0.011,2.5169,0.5,0.030176
