Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,979E+04",20.0,0.03,3.2401,0.34151,0.105,0.016352,0.502,0.00019605
2,357.9,"9,994E+04",20.0,0.0426,3.3355,0.48641,0.146,0.016876,0.501,0.00020234
3,462,1E+05,20.0,0.0605,3.3601,0.64286,0.191,0.017113,0.5,0.00020517
4,535.3,"1,001E+05",20.0,0.0859,3.3583,0.79733,0.237,0.017261,0.5,0.00020695
5,586.9,"1,002E+05",20.0,0.122,3.35,0.95995,0.287,0.017425,0.5,0.00020892
6,623.2,"1,002E+05",20.0,0.173,3.3278,1.1417,0.343,0.017591,0.5,0.00021091
7,648.8,"1,002E+05",20.0,0.246,3.3171,1.3345,0.402,0.017877,0.5,0.00021434
8,666.9,"1,003E+05",20.0,0.349,3.3706,1.59,0.472,0.018634,0.5,0.00022342
9,679.5,"1,003E+05",20.0,0.496,3.4416,1.8691,0.543,0.019582,0.5,0.00023478
10,688.5,"1,003E+05",20.0,0.704,2.9355,1.6575,0.565,0.016856,0.5,0.00020209
11,694.8,"1,003E+05",20.0,1,3.6037,2.0942,0.581,0.02084,0.5,0.00024986
