Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,865E+04",35.0,0.03,167.59,3.4931,0.021,0.84131,0.502,0.010087
2,357.9,"8,88E+04",35.0,0.0426,166.46,2.8889,0.017,0.83356,0.501,0.009994
3,462,"8,89E+04",35.0,0.0605,166.23,2.6725,0.016,0.83163,0.5,0.0099708
4,535.3,"8,898E+04",35.0,0.0859,166.27,2.5423,0.015,0.83154,0.5,0.0099698
5,586.9,"8,903E+04",35.0,0.122,165.57,2.7223,0.016,0.82801,0.5,0.0099274
6,623.2,"8,906E+04",35.0,0.173,166.42,2.2967,0.014,0.8322,0.5,0.0099777
7,648.8,"8,909E+04",35.0,0.246,166.57,2.35,0.014,0.83292,0.5,0.0099864
8,666.9,"8,911E+04",35.0,0.349,166.73,2.3761,0.014,0.83375,0.5,0.0099962
9,679.5,"8,912E+04",35.0,0.496,167.17,2.3337,0.014,0.83594,0.5,0.010023
10,688.5,"8,913E+04",35.0,0.704,167.04,2.2161,0.013,0.83525,0.5,0.010014
11,694.8,"8,913E+04",35.0,1,167.82,2.3954,0.014,0.83917,0.5,0.010061
