Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"7,379E+04",55.0,0.03,872.6,13.75,0.016,4.3798,0.502,0.052512
2,357.9,"7,394E+04",55.0,0.0426,870.65,12.053,0.014,4.3594,0.501,0.052267
3,462,"7,404E+04",55.0,0.0605,868.61,10.564,0.012,4.3453,0.5,0.052098
4,535.3,"7,412E+04",55.0,0.0859,869.36,9.8107,0.011,4.3477,0.5,0.052127
5,586.9,"7,417E+04",55.0,0.122,871.05,9.5925,0.011,4.3557,0.5,0.052223
6,623.2,"7,42E+04",55.0,0.173,872.89,9.1865,0.011,4.3647,0.5,0.052331
7,648.8,"7,423E+04",55.0,0.246,874.9,9.266,0.011,4.3748,0.5,0.052451
8,666.9,"7,425E+04",55.0,0.349,876.97,9.1896,0.010,4.3851,0.5,0.052575
9,679.5,"7,426E+04",55.0,0.496,878.99,9.2049,0.010,4.3952,0.5,0.052696
10,688.5,"7,427E+04",55.0,0.704,883.07,10.085,0.011,4.4156,0.5,0.052941
11,694.8,"7,428E+04",55.0,1,885.57,9.8929,0.011,4.4281,0.5,0.053091
