Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"7,751E+04",50.0,0.03,680.25,10.835,0.016,3.4144,0.502,0.040937
2,357.9,"7,765E+04",50.0,0.0426,679.02,9.6455,0.014,3.3999,0.501,0.040764
3,462,"7,776E+04",50.0,0.0605,679.24,9.2299,0.014,3.398,0.5,0.04074
4,535.3,"7,783E+04",50.0,0.0859,679.93,8.9585,0.013,3.4004,0.5,0.04077
5,586.9,"7,788E+04",50.0,0.122,681.2,8.8313,0.013,3.4064,0.5,0.040842
6,623.2,"7,792E+04",50.0,0.173,682.53,8.9312,0.013,3.413,0.5,0.04092
7,648.8,"7,795E+04",50.0,0.246,683.74,8.7772,0.013,3.419,0.5,0.040992
8,666.9,"7,796E+04",50.0,0.349,685.23,8.6217,0.013,3.4264,0.5,0.041082
9,679.5,"7,798E+04",50.0,0.496,687.12,8.3884,0.012,3.4358,0.5,0.041194
10,688.5,"7,798E+04",50.0,0.704,688.15,8.1608,0.012,3.441,0.5,0.041256
11,694.8,"7,799E+04",50.0,1,690.15,7.9287,0.011,3.4509,0.5,0.041375
