Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,236E+04",30.0,0.03,57.416,1.5171,0.026,0.28827,0.502,0.0034562
2,357.9,"9,251E+04",30.0,0.0426,57.023,1.5159,0.027,0.28559,0.501,0.0034241
3,462,"9,262E+04",30.0,0.0605,56.752,1.5918,0.028,0.284,0.5,0.003405
4,535.3,"9,269E+04",30.0,0.0859,56.784,1.588,0.028,0.28407,0.5,0.0034059
5,586.9,"9,274E+04",30.0,0.122,56.853,1.7548,0.031,0.28441,0.5,0.00341
6,623.2,"9,278E+04",30.0,0.173,56.918,1.8188,0.032,0.28474,0.5,0.0034139
7,648.8,"9,28E+04",30.0,0.246,57.053,1.8888,0.033,0.28542,0.5,0.0034221
8,666.9,"9,282E+04",30.0,0.349,57.274,1.9866,0.035,0.28654,0.5,0.0034355
9,679.5,"9,283E+04",30.0,0.496,57.491,2.0392,0.035,0.28764,0.5,0.0034486
10,688.5,"9,284E+04",30.0,0.704,57.218,1.7971,0.031,0.28623,0.5,0.0034318
11,694.8,"9,285E+04",30.0,1,57.878,1.903,0.033,0.28955,0.5,0.0034715
