Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"5,893E+04",75.0,0.03,6445.7,122.73,0.019,32.343,0.502,0.38778
2,357.9,"5,908E+04",75.0,0.0426,6451.7,110.41,0.017,32.302,0.501,0.38728
3,462,"5,918E+04",75.0,0.0605,6468.5,104.08,0.016,32.36,0.5,0.38798
4,535.3,"5,926E+04",75.0,0.0859,6489.5,98.571,0.015,32.455,0.5,0.38912
5,586.9,"5,931E+04",75.0,0.122,6506.3,93.213,0.014,32.536,0.5,0.3901
6,623.2,"5,934E+04",75.0,0.173,6525.1,90.703,0.014,32.629,0.5,0.39121
7,648.8,"5,937E+04",75.0,0.246,6545.9,89.553,0.014,32.733,0.5,0.39245
8,666.9,"5,939E+04",75.0,0.349,6566.8,88.801,0.014,32.837,0.5,0.3937
9,679.5,"5,94E+04",75.0,0.496,6588.1,88.015,0.013,32.944,0.5,0.39498
10,688.5,"5,941E+04",75.0,0.704,6623.9,100.16,0.015,33.123,0.5,0.39713
11,694.8,"5,942E+04",75.0,1,6646.6,100.34,0.015,33.237,0.5,0.39849
