Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"6,265E+04",70.0,0.03,5887.9,97.518,0.017,29.544,0.502,0.35422
2,357.9,"6,279E+04",70.0,0.0426,5890.5,86.965,0.015,29.491,0.501,0.35359
3,462,"6,29E+04",70.0,0.0605,5902.3,80.866,0.014,29.526,0.5,0.35401
4,535.3,"6,297E+04",70.0,0.0859,5912.8,77.092,0.013,29.571,0.5,0.35454
5,586.9,"6,302E+04",70.0,0.122,5925.6,73.552,0.012,29.631,0.5,0.35527
6,623.2,"6,306E+04",70.0,0.173,5940.3,68.637,0.012,29.704,0.5,0.35614
7,648.8,"6,308E+04",70.0,0.246,5958.5,69.123,0.012,29.795,0.5,0.35722
8,666.9,"6,31E+04",70.0,0.349,5974.3,69.121,0.012,29.873,0.5,0.35817
9,679.5,"6,311E+04",70.0,0.496,5991.3,70.341,0.012,29.958,0.5,0.35919
10,688.5,"6,312E+04",70.0,0.704,6017.4,76.234,0.013,30.089,0.5,0.36076
11,694.8,"6,313E+04",70.0,1,6032.8,76.347,0.013,30.166,0.5,0.36168
