Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,864E+04",35.0,0.03,637.87,10.265,0.016,3.2017,0.502,0.038387
2,357.9,"8,879E+04",35.0,0.0426,634.83,8.7708,0.014,3.1787,0.501,0.038111
3,462,"8,89E+04",35.0,0.0605,633.97,8.4699,0.013,3.1715,0.5,0.038025
4,535.3,"8,897E+04",35.0,0.0859,633.77,8.139,0.013,3.1696,0.5,0.038002
5,586.9,"8,902E+04",35.0,0.122,633.91,8.3529,0.013,3.1699,0.5,0.038006
6,623.2,"8,906E+04",35.0,0.173,634.87,8.4332,0.013,3.1747,0.5,0.038063
7,648.8,"8,908E+04",35.0,0.246,636.25,8.6609,0.014,3.1815,0.5,0.038145
8,666.9,"8,91E+04",35.0,0.349,638.03,9.0752,0.014,3.1905,0.5,0.038252
9,679.5,"8,911E+04",35.0,0.496,639.92,9.5517,0.015,3.2,0.5,0.038366
10,688.5,"8,912E+04",35.0,0.704,642.84,10.334,0.016,3.2146,0.5,0.038541
11,694.8,"8,913E+04",35.0,1,645.3,10.879,0.017,3.227,0.5,0.03869
