Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,978E+04",20.0,0.03,14.634,6.1822,0.422,0.079731,0.502,0.00095593
2,357.9,"9,993E+04",20.0,0.0426,15.216,7.0081,0.461,0.083872,0.501,0.0010056
3,462,1E+05,20.0,0.0605,16.316,8.0824,0.495,0.091079,0.5,0.001092
4,535.3,"1,001E+05",20.0,0.0859,17.81,9.3472,0.525,0.10058,0.5,0.001206
5,586.9,"1,002E+05",20.0,0.122,19.643,10.819,0.551,0.11213,0.5,0.0013444
6,623.2,"1,002E+05",20.0,0.173,21.9,12.491,0.570,0.12606,0.5,0.0015114
7,648.8,"1,002E+05",20.0,0.246,24.499,14.372,0.587,0.14202,0.5,0.0017027
8,666.9,"1,002E+05",20.0,0.349,27.531,16.5,0.599,0.16049,0.5,0.0019242
9,679.5,"1,003E+05",20.0,0.496,31.045,18.884,0.608,0.18169,0.5,0.0021784
10,688.5,"1,003E+05",20.0,0.704,34.404,20.878,0.607,0.20122,0.5,0.0024125
11,694.8,"1,003E+05",20.0,1,39.139,23.741,0.607,0.22888,0.5,0.0027442
