Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,493E+04",40.0,0.03,1234.1,19.619,0.016,6.1943,0.502,0.074267
2,357.9,"8,508E+04",40.0,0.0426,1231.4,17.629,0.014,6.1658,0.501,0.073925
3,462,"8,518E+04",40.0,0.0605,1231.6,15.955,0.013,6.161,0.5,0.073868
4,535.3,"8,525E+04",40.0,0.0859,1232.6,14.819,0.012,6.1645,0.5,0.073909
5,586.9,"8,531E+04",40.0,0.122,1234.3,13.664,0.011,6.1721,0.5,0.074001
6,623.2,"8,534E+04",40.0,0.173,1236.1,12.847,0.010,6.1807,0.5,0.074104
7,648.8,"8,537E+04",40.0,0.246,1237.9,12.057,0.010,6.1897,0.5,0.074212
8,666.9,"8,539E+04",40.0,0.349,1239.6,11.405,0.009,6.1983,0.5,0.074315
9,679.5,"8,54E+04",40.0,0.496,1241.7,11,0.009,6.2088,0.5,0.07444
10,688.5,"8,541E+04",40.0,0.704,1245,11.461,0.009,6.2253,0.5,0.074639
11,694.8,"8,541E+04",40.0,1,1247.4,11.453,0.009,6.2371,0.5,0.07478
