Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"7,379E+04",55.0,0.03,3549.5,49.253,0.014,17.813,0.502,0.21356
2,357.9,"7,394E+04",55.0,0.0426,3543.3,43.689,0.012,17.74,0.501,0.2127
3,462,"7,404E+04",55.0,0.0605,3542.6,40.727,0.011,17.722,0.5,0.21247
4,535.3,"7,411E+04",55.0,0.0859,3546.4,38.898,0.011,17.736,0.5,0.21264
5,586.9,"7,416E+04",55.0,0.122,3551.5,37.448,0.011,17.759,0.5,0.21292
6,623.2,"7,42E+04",55.0,0.173,3557.7,36.629,0.010,17.79,0.5,0.21329
7,648.8,"7,423E+04",55.0,0.246,3566.4,37.523,0.011,17.833,0.5,0.21381
8,666.9,"7,424E+04",55.0,0.349,3576.4,37.222,0.010,17.883,0.5,0.21441
9,679.5,"7,426E+04",55.0,0.496,3585.2,36.537,0.010,17.927,0.5,0.21494
10,688.5,"7,427E+04",55.0,0.704,3601.6,40.083,0.011,18.009,0.5,0.21592
11,694.8,"7,427E+04",55.0,1,3610.7,39.16,0.011,18.055,0.5,0.21647
