Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,236E+04",30.0,0.03,234.61,9.203,0.039,1.1784,0.502,0.014128
2,357.9,"9,251E+04",30.0,0.0426,234.07,9.1559,0.039,1.1728,0.501,0.014061
3,462,"9,261E+04",30.0,0.0605,234.71,9.4264,0.040,1.175,0.5,0.014088
4,535.3,"9,268E+04",30.0,0.0859,235.29,9.5888,0.041,1.1776,0.5,0.014119
5,586.9,"9,273E+04",30.0,0.122,237.18,9.8913,0.042,1.187,0.5,0.014231
6,623.2,"9,277E+04",30.0,0.173,239.21,10.19,0.043,1.1972,0.5,0.014354
7,648.8,"9,28E+04",30.0,0.246,241.32,10.507,0.044,1.2078,0.5,0.014481
8,666.9,"9,281E+04",30.0,0.349,243.54,10.854,0.045,1.2189,0.5,0.014614
9,679.5,"9,283E+04",30.0,0.496,245.85,11.26,0.046,1.2306,0.5,0.014754
10,688.5,"9,284E+04",30.0,0.704,248.53,12.032,0.048,1.2441,0.5,0.014916
11,694.8,"9,284E+04",30.0,1,251.26,12.597,0.050,1.2579,0.5,0.015081
