Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,122E+04",45.0,0.03,1940.4,28.658,0.015,9.7386,0.502,0.11676
2,357.9,"8,136E+04",45.0,0.0426,1936.1,26.069,0.013,9.6941,0.501,0.11623
3,462,"8,147E+04",45.0,0.0605,1935.8,24.754,0.013,9.6839,0.5,0.11611
4,535.3,"8,154E+04",45.0,0.0859,1938.2,23.943,0.012,9.6929,0.5,0.11621
5,586.9,"8,159E+04",45.0,0.122,1942.4,23.149,0.012,9.7129,0.5,0.11645
6,623.2,"8,163E+04",45.0,0.173,1946.9,22.242,0.011,9.7352,0.5,0.11672
7,648.8,"8,166E+04",45.0,0.246,1951.1,20.731,0.011,9.7559,0.5,0.11697
8,666.9,"8,167E+04",45.0,0.349,1955.6,19.103,0.010,9.7784,0.5,0.11724
9,679.5,"8,169E+04",45.0,0.496,1959.8,17.765,0.009,9.7995,0.5,0.11749
10,688.5,"8,169E+04",45.0,0.704,1967,18.821,0.010,9.8354,0.5,0.11792
11,694.8,"8,17E+04",45.0,1,1970.6,17.774,0.009,9.8535,0.5,0.11814
