Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,072E+05",10.0,0.03,2.7058,3.8647,1.428,0.023678,0.502,0.00028389
2,357.9,"1,074E+05",10.0,0.0426,3.1183,4.7927,1.537,0.028627,0.501,0.00034323
3,462,"1,075E+05",10.0,0.0605,3.8419,5.988,1.559,0.035588,0.5,0.00042669
4,535.3,"1,075E+05",10.0,0.0859,4.8387,7.4561,1.541,0.044449,0.5,0.00053292
5,586.9,"1,076E+05",10.0,0.122,6.194,9.2124,1.487,0.055508,0.5,0.00066551
6,623.2,"1,076E+05",10.0,0.173,7.9566,11.34,1.425,0.069264,0.5,0.00083044
7,648.8,"1,077E+05",10.0,0.246,10.178,13.811,1.357,0.085783,0.5,0.0010285
8,666.9,"1,077E+05",10.0,0.349,12.976,16.697,1.287,0.10573,0.5,0.0012677
9,679.5,"1,077E+05",10.0,0.496,16.403,19.967,1.217,0.1292,0.5,0.0015491
10,688.5,"1,077E+05",10.0,0.704,19.77,22.532,1.140,0.14988,0.5,0.001797
11,694.8,"1,077E+05",10.0,1,24.755,26.596,1.074,0.18167,0.5,0.0021781
