Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,607E+04",25.0,0.03,68.312,7.2536,0.106,0.34478,0.502,0.0041337
2,357.9,"9,622E+04",25.0,0.0426,68.403,7.6879,0.112,0.34463,0.501,0.0041319
3,462,"9,632E+04",25.0,0.0605,69.393,8.4096,0.121,0.34966,0.5,0.0041922
4,535.3,"9,64E+04",25.0,0.0859,70.87,9.3299,0.132,0.35746,0.5,0.0042857
5,586.9,"9,645E+04",25.0,0.122,72.638,10.368,0.143,0.36689,0.5,0.0043988
6,623.2,"9,648E+04",25.0,0.173,74.693,11.581,0.155,0.37793,0.5,0.0045312
7,648.8,"9,651E+04",25.0,0.246,77.07,12.972,0.168,0.39077,0.5,0.0046852
8,666.9,"9,653E+04",25.0,0.349,79.793,14.546,0.182,0.40554,0.5,0.0048623
9,679.5,"9,654E+04",25.0,0.496,82.93,16.308,0.197,0.42259,0.5,0.0050667
10,688.5,"9,655E+04",25.0,0.704,85.755,17.768,0.207,0.43788,0.5,0.00525
11,694.8,"9,656E+04",25.0,1,89.865,19.917,0.222,0.46023,0.5,0.0055179
