Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,065E+04",20.0,0.03,1.0817,1.6852,1.558,0.01005,0.502,0.0001205
2,357.9,"1,08E+04",20.0,0.0426,1.2913,2.1476,1.663,0.012546,0.501,0.00015042
3,462,"1,09E+04",20.0,0.0605,1.6088,2.7583,1.714,0.015973,0.5,0.00019151
4,535.3,"1,098E+04",20.0,0.0859,2.0424,3.5014,1.714,0.020271,0.5,0.00024304
5,586.9,"1,103E+04",20.0,0.122,2.6083,4.417,1.693,0.025649,0.5,0.00030752
6,623.2,"1,106E+04",20.0,0.173,3.3573,5.534,1.648,0.032364,0.5,0.00038803
7,648.8,"1,109E+04",20.0,0.246,4.3326,6.8652,1.585,0.04059,0.5,0.00048666
8,666.9,"1,111E+04",20.0,0.349,5.6088,8.4387,1.505,0.050663,0.5,0.00060743
9,679.5,"1,112E+04",20.0,0.496,7.2261,10.288,1.424,0.062861,0.5,0.00075367
10,688.5,"1,113E+04",20.0,0.704,8.8117,11.672,1.325,0.073122,0.5,0.0008767
11,694.8,"1,114E+04",20.0,1,11.476,14.06,1.225,0.090743,0.5,0.001088
