Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"4,779E+04",70.0,0.03,3410.9,73.708,0.022,17.119,0.502,0.20525
2,357.9,"4,794E+04",70.0,0.0426,3420.6,64.502,0.019,17.128,0.501,0.20535
3,462,"4,804E+04",70.0,0.0605,3435.2,55.911,0.016,17.185,0.5,0.20605
4,535.3,"4,812E+04",70.0,0.0859,3451.8,51.99,0.015,17.263,0.5,0.20698
5,586.9,"4,817E+04",70.0,0.122,3464.3,46.601,0.013,17.324,0.5,0.2077
6,623.2,"4,82E+04",70.0,0.173,3479.2,43.965,0.013,17.397,0.5,0.20859
7,648.8,"4,823E+04",70.0,0.246,3491.9,43.025,0.012,17.461,0.5,0.20935
8,666.9,"4,825E+04",70.0,0.349,3502,40.647,0.012,17.511,0.5,0.20995
9,679.5,"4,826E+04",70.0,0.496,3515.4,41.334,0.012,17.578,0.5,0.21076
10,688.5,"4,827E+04",70.0,0.704,3538.1,47.889,0.014,17.692,0.5,0.21212
11,694.8,"4,828E+04",70.0,1,3549.2,48.195,0.014,17.747,0.5,0.21278
