Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,922E+04",45.0,0.03,168.16,4.8222,0.029,0.84431,0.502,0.010123
2,357.9,"2,937E+04",45.0,0.0426,171.63,4.5402,0.026,0.85959,0.501,0.010306
3,462,"2,947E+04",45.0,0.0605,174.47,4.4849,0.026,0.87305,0.5,0.010467
4,535.3,"2,955E+04",45.0,0.0859,176.71,4.4412,0.025,0.88397,0.5,0.010598
5,586.9,"2,96E+04",45.0,0.122,178.58,4.4466,0.025,0.89323,0.5,0.010709
6,623.2,"2,963E+04",45.0,0.173,180.26,4.5723,0.025,0.90161,0.5,0.01081
7,648.8,"2,966E+04",45.0,0.246,181.69,4.708,0.026,0.90874,0.5,0.010895
8,666.9,"2,968E+04",45.0,0.349,183.04,4.9268,0.027,0.91551,0.5,0.010977
9,679.5,"2,969E+04",45.0,0.496,184.35,5.2642,0.029,0.92211,0.5,0.011056
10,688.5,"2,97E+04",45.0,0.704,185.88,5.7257,0.031,0.92985,0.5,0.011149
11,694.8,"2,971E+04",45.0,1,187.52,6.1968,0.033,0.93811,0.5,0.011248
