Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,436E+04",25.0,0.03,0.96322,1.5343,1.593,0.0090922,0.502,0.00010901
2,357.9,"1,451E+04",25.0,0.0426,1.2997,1.9333,1.488,0.011663,0.501,0.00013984
3,462,"1,462E+04",25.0,0.0605,1.6015,2.4697,1.542,0.014724,0.5,0.00017653
4,535.3,"1,469E+04",25.0,0.0859,2.1286,3.1873,1.497,0.019166,0.5,0.0002298
5,586.9,"1,474E+04",25.0,0.122,2.623,3.9838,1.519,0.02385,0.5,0.00028595
6,623.2,"1,478E+04",25.0,0.173,3.3106,4.9477,1.494,0.029766,0.5,0.00035688
7,648.8,"1,48E+04",25.0,0.246,4.1431,6.1666,1.488,0.037146,0.5,0.00044536
8,666.9,"1,482E+04",25.0,0.349,5.2392,7.5326,1.438,0.045877,0.5,0.00055005
9,679.5,"1,483E+04",25.0,0.496,6.6596,9.1553,1.375,0.056606,0.5,0.00067868
10,688.5,"1,484E+04",25.0,0.704,7.9287,10.289,1.298,0.064946,0.5,0.00077868
11,694.8,"1,485E+04",25.0,1,10.302,12.419,1.205,0.080679,0.5,0.0009673
