Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,551E+04",40.0,0.03,47.196,2.7167,0.058,0.23726,0.502,0.0028447
2,357.9,"2,565E+04",40.0,0.0426,48.702,2.8375,0.058,0.24425,0.501,0.0029284
3,462,"2,576E+04",40.0,0.0605,49.969,3.0805,0.062,0.25043,0.5,0.0030026
4,535.3,"2,583E+04",40.0,0.0859,51.084,3.4146,0.067,0.25602,0.5,0.0030696
5,586.9,"2,588E+04",40.0,0.122,52.075,3.7877,0.073,0.26107,0.5,0.0031302
6,623.2,"2,592E+04",40.0,0.173,53.035,4.2635,0.080,0.26604,0.5,0.0031897
7,648.8,"2,595E+04",40.0,0.246,54.021,4.8546,0.090,0.27119,0.5,0.0032515
8,666.9,"2,596E+04",40.0,0.349,55.116,5.561,0.101,0.27698,0.5,0.0033209
9,679.5,"2,598E+04",40.0,0.496,56.316,6.3626,0.113,0.28337,0.5,0.0033975
10,688.5,"2,599E+04",40.0,0.704,57.434,6.9961,0.122,0.28929,0.5,0.0034685
11,694.8,"2,599E+04",40.0,1,59.258,8.0531,0.136,0.29901,0.5,0.003585
