Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,808E+04",30.0,0.03,1.7931,1.6987,0.947,0.012397,0.502,0.00014863
2,357.9,"1,823E+04",30.0,0.0426,2.0913,2.1009,1.005,0.014841,0.501,0.00017794
3,462,"1,833E+04",30.0,0.0605,2.4824,2.6192,1.055,0.018051,0.5,0.00021643
4,535.3,"1,84E+04",30.0,0.0859,2.9232,3.243,1.109,0.021833,0.5,0.00026177
5,586.9,"1,846E+04",30.0,0.122,3.4917,3.9632,1.135,0.026411,0.5,0.00031666
6,623.2,"1,849E+04",30.0,0.173,4.2126,4.8568,1.153,0.032146,0.5,0.00038542
7,648.8,"1,852E+04",30.0,0.246,5.1,5.8919,1.155,0.038963,0.5,0.00046715
8,666.9,"1,854E+04",30.0,0.349,6.2425,7.1253,1.141,0.047365,0.5,0.00056789
9,679.5,"1,855E+04",30.0,0.496,7.6173,8.5382,1.121,0.057211,0.5,0.00068594
10,688.5,"1,856E+04",30.0,0.704,8.9914,9.6142,1.069,0.065818,0.5,0.00078912
11,694.8,"1,856E+04",30.0,1,11.243,11.459,1.019,0.080268,0.5,0.00096237
