Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,6937,15.0,0.03,1.8469,2.0823,1.127,0.013969,0.502,0.00016749
2,357.9,7085,15.0,0.0426,2.0333,2.6308,1.294,0.016647,0.501,0.00019959
3,462,7189,15.0,0.0605,2.3623,3.3349,1.412,0.020443,0.5,0.0002451
4,535.3,7262,15.0,0.0859,2.8531,4.1912,1.469,0.025355,0.5,0.00030399
5,586.9,7314,15.0,0.122,3.5099,5.2629,1.499,0.031631,0.5,0.00037924
6,623.2,7350,15.0,0.173,4.3921,6.5351,1.488,0.03937,0.5,0.00047203
7,648.8,7376,15.0,0.246,5.5475,8.0589,1.453,0.048919,0.5,0.00058651
8,666.9,7394,15.0,0.349,7.035,9.8694,1.403,0.060601,0.5,0.00072657
9,679.5,7406,15.0,0.496,8.9303,11.962,1.339,0.074639,0.5,0.00089489
10,688.5,7415,15.0,0.704,10.701,13.495,1.261,0.086112,0.5,0.0010324
11,694.8,7422,15.0,1,13.744,16.172,1.177,0.10612,0.5,0.0012723
