Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"5,151E+04",75.0,0.03,4373.9,110.83,0.025,21.953,0.502,0.26321
2,357.9,"5,165E+04",75.0,0.0426,4389,92.593,0.021,21.977,0.501,0.2635
3,462,"5,176E+04",75.0,0.0605,4409.4,83.962,0.019,22.06,0.5,0.26449
4,535.3,"5,183E+04",75.0,0.0859,4430.3,76.454,0.017,22.158,0.5,0.26566
5,586.9,"5,188E+04",75.0,0.122,4446.6,70.871,0.016,22.237,0.5,0.26661
6,623.2,"5,192E+04",75.0,0.173,4466.6,68.466,0.015,22.336,0.5,0.2678
7,648.8,"5,194E+04",75.0,0.246,4479.8,63.18,0.014,22.401,0.5,0.26858
8,666.9,"5,196E+04",75.0,0.349,4501,65.912,0.015,22.507,0.5,0.26985
9,679.5,"5,197E+04",75.0,0.496,4515.1,63.246,0.014,22.578,0.5,0.2707
10,688.5,"5,198E+04",75.0,0.704,4538.8,69.729,0.015,22.697,0.5,0.27212
11,694.8,"5,199E+04",75.0,1,4554.2,71.42,0.016,22.774,0.5,0.27304
