Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"3,294E+04",50.0,0.03,524.54,10.228,0.019,2.633,0.502,0.031569
2,357.9,"3,308E+04",50.0,0.0426,531.27,8.7183,0.016,2.6602,0.501,0.031895
3,462,"3,319E+04",50.0,0.0605,536.68,8.0649,0.015,2.6849,0.5,0.03219
4,535.3,"3,326E+04",50.0,0.0859,540.81,7.4661,0.014,2.7047,0.5,0.032428
5,586.9,"3,331E+04",50.0,0.122,544.33,7.2863,0.013,2.722,0.5,0.032635
6,623.2,"3,335E+04",50.0,0.173,547.09,7.0646,0.013,2.7357,0.5,0.0328
7,648.8,"3,337E+04",50.0,0.246,549.66,7.1452,0.013,2.7485,0.5,0.032954
8,666.9,"3,339E+04",50.0,0.349,552.08,7.1398,0.013,2.7606,0.5,0.033098
9,679.5,"3,34E+04",50.0,0.496,554.13,7.3321,0.013,2.7709,0.5,0.033222
10,688.5,"3,341E+04",50.0,0.704,556.56,7.7001,0.014,2.7831,0.5,0.033368
11,694.8,"3,342E+04",50.0,1,558.78,7.8622,0.014,2.7942,0.5,0.033501
