Temperature,V,Concentration,Process
15.0,33.147559319510094,2.0,heating
20.0,28.619004876403046,2.0,heating
25.0,25.45680649105691,2.0,heating
30.0,25.861620301124926,2.0,heating
35.0,29.29833498033123,2.0,heating
45.0,297.0498644797716,2.0,heating
50.0,806.1734984817851,2.0,heating
55.0,1451.040769695049,2.0,heating
60.0,2286.9285930734522,2.0,heating
65.0,3412.3445103731196,2.0,heating
70.0,4572.723557462388,2.0,heating
75.0,5790.46810554449,2.0,heating
80.0,7074.686825270362,2.0,heating
