Temperature_H,Alpha_H,Tan_delta_H,V_H,Temperature_C,Alpha_C,Tan_delta_C,V_C
15.0,0.6147242452336954,1.445540448396758,33.147559319510094,15.0,0.5296555381336552,1.0977917816895202,35.754497196995885
20.0,0.6161819188724076,1.4526382071604753,28.619004876403046,20.0,0.3943734722516936,0.7131248773813267,42.12934967235249
25.0,0.5906108006121088,1.3345397487408246,25.45680649105691,25.0,0.29919944232620904,0.5079424791311605,43.648837826707386
30.0,0.5085145086669396,1.0271133638479744,25.861620301124926,30.0,0.02733425834010807,0.042962957259875,251.9890137123861
35.0,0.4157062802797878,0.764932953185473,29.29833498033123,35.0,0.009020234875483282,0.014169900067839917,647.4134226572186
45.0,0.014666245505717481,0.023041761068155718,297.0498644797716,40.0,0.006616615222289671,0.010393729139549184,1253.2757028780466
50.0,0.007636456852596692,0.011995893733010262,806.1734984817851,45.0,0.006848020284582298,0.010757260018542486,1975.2365790915137
55.0,0.00597444584680277,0.009384913106626931,1451.040769695049,50.0,0.006963481374618603,0.010938647217945217,2765.84215659701
60.0,0.007432277781727892,0.011675125068981988,2286.9285930734522,55.0,0.006982407049329077,0.010968379165059489,3611.9732590495846
65.0,0.008793680630036578,0.013813959817275087,3412.3445103731196,60.0,0.006967361748328414,0.010944743224445965,4473.497314971143
70.0,0.00997815229637568,0.015674928580463144,4572.723557462388,65.0,0.007444408629434854,0.011694182761614812,5307.0239632835055
75.0,0.011227533972739226,0.017637997836315627,5790.46810554449,70.0,0.008038176400834525,0.012627008989513248,6036.671274535577
80.0,0.011916244310630788,0.018720179131023806,7074.686825270362,75.0,0.009418773947624576,0.01479605511151033,6645.858203467942
