Temperature_H,Alpha_H,Tan_delta_H,V_H,Temperature_C,Alpha_C,Tan_delta_C,V_C
15.0,0.6680262823352158,1.7406252555812673,12.117507284973081,15.0,0.5911038770713881,1.3366959226306852,13.615016238780743
20.0,0.6767748614578311,1.7973641631717572,10.326950286555856,20.0,0.46974668473361525,0.9092028888782034,15.028610825473441
25.0,0.7178700573940286,2.1067831971704543,9.137616780899835,25.0,0.3362618631760285,0.5835001444767929,16.535012790273136
30.0,0.6269941818009533,1.5068022103735308,8.17175558089979,30.0,0.02296310968186895,0.03608601986136387,139.44488296903978
35.0,0.5006816767141685,1.0021438469550252,9.285352686231885,35.0,0.01094139783015997,0.017188399941506796,382.2292063823312
45.0,0.01500917557538844,0.023580727097617236,119.97613485414581,40.0,0.010696253710549502,0.016803217223342454,736.0015472435659
50.0,0.008616360962691857,0.013535374648623286,382.65699501526814,45.0,0.011011342385114618,0.01729830125921,1150.8145965907875
55.0,0.007352063359655876,0.011549107559201672,780.6566896139846,50.0,0.01048746304976667,0.01647515881542152,1602.2646996167584
60.0,0.007771574006575554,0.012208166347673678,1250.2621239279852,55.0,0.009551875207112741,0.015005176502338173,2072.302065069073
65.0,0.008702156544107952,0.013670166969704106,1899.6267415765228,60.0,0.009039927685629556,0.01420083968624789,2544.829382798943
70.0,0.009478889431966595,0.014890505098485694,2561.0671401251834,65.0,0.00873974445468562,0.013729221002865126,2990.548989986714
75.0,0.010357838759304608,0.01627149086955375,3282.299757274646,70.0,0.00878669253704217,0.013802980853465808,3383.1125690945487
80.0,0.012164759133390258,0.01911068497722786,4107.378027629546,75.0,0.00933553805183988,0.014665280100919024,3730.3306225628444
