Temperature,V,Concentration,Process
15.0,12.117507284973081,1.5,heating
20.0,10.326950286555856,1.5,heating
25.0,9.137616780899835,1.5,heating
30.0,8.17175558089979,1.5,heating
35.0,9.285352686231885,1.5,heating
45.0,119.97613485414581,1.5,heating
50.0,382.65699501526814,1.5,heating
55.0,780.6566896139846,1.5,heating
60.0,1250.2621239279852,1.5,heating
65.0,1899.6267415765228,1.5,heating
70.0,2561.0671401251834,1.5,heating
75.0,3282.299757274646,1.5,heating
80.0,4107.378027629546,1.5,heating
