Temperature,V,Concentration,Process
15.0,13.615016177417765,1.5,cooling
20.0,15.028611412869642,1.5,cooling
25.0,16.535011014670605,1.5,cooling
30.0,139.44488295270654,1.5,cooling
35.0,382.2292008999094,1.5,cooling
40.0,736.0015473417116,1.5,cooling
45.0,1150.8145904096918,1.5,cooling
50.0,1602.2647070976425,1.5,cooling
55.0,2072.302461715042,1.5,cooling
60.0,2544.8284385795664,1.5,cooling
65.0,2990.5489870654624,1.5,cooling
70.0,3383.112465727807,1.5,cooling
75.0,3730.330646520516,1.5,cooling
