Temperature_C,Cost
15.0,0.189378182858518
20.0,0.0590528851923664
25.0,0.011296206710581725
30.0,0.0319612287223945
35.0,0.1541784847094169
40.0,0.44884574998317855
45.0,0.12479474923219017
50.0,0.0698181752598402
55.0,0.09953784042591214
60.0,0.13883760100564918
65.0,0.18246649221960018
70.0,0.2047841681644507
75.0,0.21148116322402968
