Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"7,379E+04",55.0,0.03,2739.6,50.133,0.018,13.75,0.502,0.16485
2,357.9,"7,394E+04",55.0,0.0426,2736,43.203,0.016,13.699,0.501,0.16424
3,462,"7,404E+04",55.0,0.0605,2735.6,41.243,0.015,13.685,0.5,0.16408
4,535.3,"7,411E+04",55.0,0.0859,2738.2,39.343,0.014,13.694,0.5,0.16419
5,586.9,"7,416E+04",55.0,0.122,2743.4,37.447,0.014,13.719,0.5,0.16448
6,623.2,"7,42E+04",55.0,0.173,2749.7,37.701,0.014,13.75,0.5,0.16486
7,648.8,"7,423E+04",55.0,0.246,2756.5,38.043,0.014,13.784,0.5,0.16526
8,666.9,"7,424E+04",55.0,0.349,2764.4,38.206,0.014,13.823,0.5,0.16574
9,679.5,"7,426E+04",55.0,0.496,2772.2,38.732,0.014,13.863,0.5,0.16621
10,688.5,"7,427E+04",55.0,0.704,2783.1,41.718,0.015,13.917,0.5,0.16686
11,694.8,"7,427E+04",55.0,1,2792.4,41.621,0.015,13.963,0.5,0.16741
