Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,979E+04",20.0,0.03,8.0067,3.9612,0.495,0.044834,0.502,0.00053754
2,357.9,"9,993E+04",20.0,0.0426,7.945,4.3201,0.544,0.045278,0.501,0.00054286
3,462,1E+05,20.0,0.0605,8.6553,5.0559,0.584,0.050141,0.5,0.00060117
4,535.3,"1,001E+05",20.0,0.0859,9.5962,5.9388,0.619,0.056434,0.5,0.00067662
5,586.9,"1,002E+05",20.0,0.122,10.733,6.9683,0.649,0.063987,0.5,0.00076717
6,623.2,"1,002E+05",20.0,0.173,12.1,8.1591,0.674,0.07297,0.5,0.00087487
7,648.8,"1,002E+05",20.0,0.246,13.754,9.5326,0.693,0.083671,0.5,0.0010032
8,666.9,"1,002E+05",20.0,0.349,15.715,11.102,0.706,0.096207,0.5,0.0011535
9,679.5,"1,003E+05",20.0,0.496,18.032,12.882,0.714,0.11081,0.5,0.0013285
10,688.5,"1,003E+05",20.0,0.704,20.283,14.326,0.706,0.12416,0.5,0.0014886
11,694.8,"1,003E+05",20.0,1,23.598,16.53,0.701,0.14406,0.5,0.0017272
