Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"6,265E+04",70.0,0.03,4635.9,87.963,0.019,23.265,0.502,0.27893
2,357.9,"6,279E+04",70.0,0.0426,4637.9,78.197,0.017,23.221,0.501,0.27841
3,462,"6,29E+04",70.0,0.0605,4645.3,69.77,0.015,23.239,0.5,0.27862
4,535.3,"6,297E+04",70.0,0.0859,4655.1,64.761,0.014,23.281,0.5,0.27913
5,586.9,"6,302E+04",70.0,0.122,4666.9,61.272,0.013,23.337,0.5,0.2798
6,623.2,"6,306E+04",70.0,0.173,4679.9,58.569,0.013,23.402,0.5,0.28057
7,648.8,"6,309E+04",70.0,0.246,4695.8,55.531,0.012,23.481,0.5,0.28152
8,666.9,"6,31E+04",70.0,0.349,4706.1,54.179,0.012,23.532,0.5,0.28214
9,679.5,"6,312E+04",70.0,0.496,4719.9,51.755,0.011,23.601,0.5,0.28297
10,688.5,"6,312E+04",70.0,0.704,4743.6,58.114,0.012,23.72,0.5,0.28439
11,694.8,"6,313E+04",70.0,1,4756.3,58.913,0.012,23.783,0.5,0.28515
