Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"6,636E+04",65.0,0.03,4073.2,74.085,0.018,20.441,0.502,0.24508
2,357.9,"6,651E+04",65.0,0.0426,4069.2,65.11,0.016,20.374,0.501,0.24428
3,462,"6,661E+04",65.0,0.0605,4073.7,59.949,0.015,20.379,0.5,0.24434
4,535.3,"6,669E+04",65.0,0.0859,4080.8,55.95,0.014,20.408,0.5,0.24469
5,586.9,"6,674E+04",65.0,0.122,4089.7,52.633,0.013,20.451,0.5,0.2452
6,623.2,"6,677E+04",65.0,0.173,4098.7,50.251,0.012,20.495,0.5,0.24573
7,648.8,"6,68E+04",65.0,0.246,4108.8,48.772,0.012,20.545,0.5,0.24633
8,666.9,"6,682E+04",65.0,0.349,4118.9,48.254,0.012,20.596,0.5,0.24693
9,679.5,"6,683E+04",65.0,0.496,4130.4,47.265,0.011,20.653,0.5,0.24763
10,688.5,"6,684E+04",65.0,0.704,4148.1,51.738,0.012,20.742,0.5,0.24869
11,694.8,"6,684E+04",65.0,1,4159.3,52.625,0.013,20.798,0.5,0.24936
