Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"7,007E+04",60.0,0.03,3422.9,62.149,0.018,17.178,0.502,0.20596
2,357.9,"7,022E+04",60.0,0.0426,3414.5,54.602,0.016,17.096,0.501,0.20498
3,462,"7,033E+04",60.0,0.0605,3417,49.701,0.015,17.094,0.5,0.20495
4,535.3,"7,04E+04",60.0,0.0859,3422.7,46.454,0.014,17.117,0.5,0.20523
5,586.9,"7,045E+04",60.0,0.122,3428.4,43.596,0.013,17.144,0.5,0.20555
6,623.2,"7,049E+04",60.0,0.173,3433.9,41.835,0.012,17.171,0.5,0.20587
7,648.8,"7,051E+04",60.0,0.246,3443.1,41.215,0.012,17.217,0.5,0.20642
8,666.9,"7,053E+04",60.0,0.349,3451.9,41.695,0.012,17.261,0.5,0.20695
9,679.5,"7,054E+04",60.0,0.496,3462.1,41.502,0.012,17.312,0.5,0.20756
10,688.5,"7,055E+04",60.0,0.704,3477.9,46.486,0.013,17.391,0.5,0.20851
11,694.8,"7,056E+04",60.0,1,3488.7,46.723,0.013,17.445,0.5,0.20916
