Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"7,75E+04",50.0,0.03,2074.9,40.328,0.019,10.414,0.502,0.12486
2,357.9,"7,765E+04",50.0,0.0426,2067.6,36.401,0.018,10.353,0.501,0.12413
3,462,"7,775E+04",50.0,0.0605,2066.3,34.048,0.016,10.337,0.5,0.12394
4,535.3,"7,783E+04",50.0,0.0859,2068.5,33.088,0.016,10.345,0.5,0.12403
5,586.9,"7,788E+04",50.0,0.122,2072.4,33.063,0.016,10.364,0.5,0.12426
6,623.2,"7,791E+04",50.0,0.173,2077.7,33.128,0.016,10.39,0.5,0.12457
7,648.8,"7,794E+04",50.0,0.246,2083.9,33.45,0.016,10.421,0.5,0.12494
8,666.9,"7,796E+04",50.0,0.349,2091.7,33.517,0.016,10.46,0.5,0.12541
9,679.5,"7,797E+04",50.0,0.496,2099.2,33.091,0.016,10.497,0.5,0.12586
10,688.5,"7,798E+04",50.0,0.704,2107.1,34.902,0.017,10.537,0.5,0.12633
11,694.8,"7,799E+04",50.0,1,2115.1,34.295,0.016,10.577,0.5,0.12681
