Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"5,893E+04",75.0,0.03,5122.5,104.16,0.020,25.706,0.502,0.3082
2,357.9,"5,908E+04",75.0,0.0426,5126.1,93.241,0.018,25.666,0.501,0.30772
3,462,"5,918E+04",75.0,0.0605,5139.6,84.74,0.016,25.712,0.5,0.30827
4,535.3,"5,926E+04",75.0,0.0859,5155.2,77.849,0.015,25.782,0.5,0.30912
5,586.9,"5,931E+04",75.0,0.122,5172.3,73.805,0.014,25.865,0.5,0.31011
6,623.2,"5,935E+04",75.0,0.173,5190.2,69.172,0.013,25.953,0.5,0.31117
7,648.8,"5,937E+04",75.0,0.246,5203.2,66.061,0.013,26.018,0.5,0.31194
8,666.9,"5,939E+04",75.0,0.349,5222,65.011,0.012,26.112,0.5,0.31307
9,679.5,"5,94E+04",75.0,0.496,5238,63.541,0.012,26.192,0.5,0.31403
10,688.5,"5,941E+04",75.0,0.704,5267.6,71.335,0.014,26.34,0.5,0.31581
11,694.8,"5,942E+04",75.0,1,5283.2,70.736,0.013,26.418,0.5,0.31674
