Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,236E+04",30.0,0.03,150.63,8.7271,0.058,0.75727,0.502,0.0090794
2,357.9,"9,251E+04",30.0,0.0426,149.11,7.4026,0.050,0.74745,0.501,0.0089616
3,462,"9,261E+04",30.0,0.0605,149.84,7.4505,0.050,0.75047,0.5,0.0089978
4,535.3,"9,268E+04",30.0,0.0859,150.97,7.5379,0.050,0.75589,0.5,0.0090628
5,586.9,"9,274E+04",30.0,0.122,152.4,7.6149,0.050,0.76298,0.5,0.0091477
6,623.2,"9,277E+04",30.0,0.173,154.03,7.7632,0.050,0.77115,0.5,0.0092458
7,648.8,"9,28E+04",30.0,0.246,155.8,7.9494,0.051,0.78003,0.5,0.0093522
8,666.9,"9,282E+04",30.0,0.349,157.63,8.1264,0.052,0.78919,0.5,0.009462
9,679.5,"9,283E+04",30.0,0.496,159.53,8.377,0.053,0.79875,0.5,0.0095766
10,688.5,"9,284E+04",30.0,0.704,162.34,9.3954,0.058,0.81304,0.5,0.009748
11,694.8,"9,284E+04",30.0,1,164.56,9.8305,0.060,0.82429,0.5,0.0098828
