Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,864E+04",35.0,0.03,445.2,10.833,0.024,2.235,0.502,0.026797
2,357.9,"8,879E+04",35.0,0.0426,441.71,9.3687,0.021,2.212,0.501,0.026521
3,462,"8,89E+04",35.0,0.0605,440.42,8.5273,0.019,2.2035,0.5,0.026419
4,535.3,"8,897E+04",35.0,0.0859,440.16,7.9676,0.018,2.2015,0.5,0.026395
5,586.9,"8,902E+04",35.0,0.122,440.59,7.6991,0.017,2.2034,0.5,0.026418
6,623.2,"8,906E+04",35.0,0.173,441.52,7.6602,0.017,2.208,0.5,0.026473
7,648.8,"8,908E+04",35.0,0.246,442.86,7.7862,0.018,2.2147,0.5,0.026553
8,666.9,"8,91E+04",35.0,0.349,444.47,8.0525,0.018,2.2227,0.5,0.02665
9,679.5,"8,911E+04",35.0,0.496,446.43,8.3798,0.019,2.2326,0.5,0.026768
10,688.5,"8,912E+04",35.0,0.704,449.68,9.7061,0.022,2.2489,0.5,0.026964
11,694.8,"8,913E+04",35.0,1,452.04,10.188,0.023,2.2607,0.5,0.027105
