Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,122E+04",45.0,0.03,1452.2,31.846,0.022,7.2893,0.502,0.087395
2,357.9,"8,136E+04",45.0,0.0426,1447.4,28.872,0.020,7.248,0.501,0.0869
3,462,"8,147E+04",45.0,0.0605,1447.6,27.912,0.019,7.2426,0.5,0.086835
4,535.3,"8,154E+04",45.0,0.0859,1450.1,27.326,0.019,7.2526,0.5,0.086955
5,586.9,"8,159E+04",45.0,0.122,1454.4,27.258,0.019,7.2737,0.5,0.087209
6,623.2,"8,163E+04",45.0,0.173,1459.8,26.636,0.018,7.3001,0.5,0.087525
7,648.8,"8,165E+04",45.0,0.246,1465,26.049,0.018,7.3264,0.5,0.08784
8,666.9,"8,167E+04",45.0,0.349,1470.8,25.203,0.017,7.3552,0.5,0.088185
9,679.5,"8,169E+04",45.0,0.496,1476.7,23.526,0.016,7.3842,0.5,0.088533
10,688.5,"8,169E+04",45.0,0.704,1483.2,24.851,0.017,7.4169,0.5,0.088926
11,694.8,"8,17E+04",45.0,1,1488.6,23.28,0.016,7.4436,0.5,0.089246
