Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,035E+05",15.0,0.03,3.0873,2.6443,0.857,0.020401,0.502,0.0002446
2,357.9,"1,036E+05",15.0,0.0426,3.4791,3.2327,0.929,0.023777,0.501,0.00028508
3,462,"1,038E+05",15.0,0.0605,4.0219,3.9832,0.990,0.028315,0.5,0.00033949
4,535.3,"1,038E+05",15.0,0.0859,4.6851,4.9286,1.052,0.034005,0.5,0.00040771
5,586.9,"1,039E+05",15.0,0.122,5.5251,6.0436,1.094,0.040944,0.5,0.0004909
6,623.2,"1,039E+05",15.0,0.173,6.5896,7.3587,1.117,0.04939,0.5,0.00059217
7,648.8,"1,039E+05",15.0,0.246,7.9396,8.9244,1.124,0.059725,0.5,0.00071607
8,666.9,"1,04E+05",15.0,0.349,9.6298,10.772,1.119,0.072246,0.5,0.00086619
9,679.5,"1,04E+05",15.0,0.496,11.725,12.873,1.098,0.087063,0.5,0.0010438
10,688.5,"1,04E+05",15.0,0.704,13.651,14.38,1.053,0.099137,0.5,0.0011886
11,694.8,"1,04E+05",15.0,1,16.854,17.063,1.012,0.11992,0.5,0.0014378
