Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,179E+04",35.0,0.03,4.3575,1.0619,0.244,0.02251,0.502,0.00026989
2,357.9,"2,194E+04",35.0,0.0426,4.6721,1.3083,0.280,0.024291,0.501,0.00029124
3,462,"2,204E+04",35.0,0.0605,5.0247,1.628,0.324,0.026421,0.5,0.00031677
4,535.3,"2,212E+04",35.0,0.0859,5.3576,1.9817,0.370,0.028566,0.5,0.00034249
5,586.9,"2,217E+04",35.0,0.122,5.7339,2.384,0.416,0.03105,0.5,0.00037228
6,623.2,"2,221E+04",35.0,0.173,6.1486,2.8596,0.465,0.033906,0.5,0.00040652
7,648.8,"2,223E+04",35.0,0.246,6.6514,3.4127,0.513,0.037379,0.5,0.00044816
8,666.9,"2,225E+04",35.0,0.349,7.2582,4.0573,0.559,0.041576,0.5,0.00049848
9,679.5,"2,226E+04",35.0,0.496,8.0223,4.7858,0.597,0.046707,0.5,0.00056
10,688.5,"2,227E+04",35.0,0.704,8.5874,5.2158,0.607,0.050237,0.5,0.00060231
11,694.8,"2,228E+04",35.0,1,9.9871,6.1837,0.619,0.058733,0.5,0.00070418
