Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,922E+04",45.0,0.03,110.14,2.7168,0.025,0.55296,0.502,0.0066298
2,357.9,"2,937E+04",45.0,0.0426,112.45,2.5634,0.023,0.56316,0.501,0.006752
3,462,"2,947E+04",45.0,0.0605,114.32,2.4876,0.022,0.57199,0.5,0.006858
4,535.3,"2,955E+04",45.0,0.0859,115.74,2.5029,0.022,0.57893,0.5,0.0069411
5,586.9,"2,96E+04",45.0,0.122,116.87,2.5346,0.022,0.58453,0.5,0.0070083
6,623.2,"2,963E+04",45.0,0.173,117.82,2.5931,0.022,0.58924,0.5,0.0070647
7,648.8,"2,966E+04",45.0,0.246,118.64,2.7115,0.023,0.59335,0.5,0.007114
8,666.9,"2,968E+04",45.0,0.349,119.36,2.8675,0.024,0.59699,0.5,0.0071577
9,679.5,"2,969E+04",45.0,0.496,120.08,3.0864,0.026,0.60058,0.5,0.0072007
10,688.5,"2,97E+04",45.0,0.704,120.62,3.2467,0.027,0.60334,0.5,0.0072338
11,694.8,"2,971E+04",45.0,1,121.72,3.6216,0.030,0.60884,0.5,0.0072998
