Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"4,036E+04",60.0,0.03,1201.3,22.145,0.018,6.0299,0.502,0.072295
2,357.9,"4,051E+04",60.0,0.0426,1209.2,19.5,0.016,6.0547,0.501,0.072593
3,462,"4,061E+04",60.0,0.0605,1216.5,18.003,0.015,6.0856,0.5,0.072964
4,535.3,"4,069E+04",60.0,0.0859,1223.2,16.814,0.014,6.1177,0.5,0.073348
5,586.9,"4,074E+04",60.0,0.122,1229,15.816,0.013,6.146,0.5,0.073688
6,623.2,"4,077E+04",60.0,0.173,1234.4,15.058,0.012,6.1724,0.5,0.074004
7,648.8,"4,08E+04",60.0,0.246,1239,14.204,0.011,6.1956,0.5,0.074282
8,666.9,"4,082E+04",60.0,0.349,1243.4,13.512,0.011,6.2174,0.5,0.074544
9,679.5,"4,083E+04",60.0,0.496,1247.7,12.73,0.010,6.2388,0.5,0.074801
10,688.5,"4,084E+04",60.0,0.704,1252.7,14.009,0.011,6.2639,0.5,0.075102
11,694.8,"4,085E+04",60.0,1,1256.3,13.465,0.011,6.282,0.5,0.075318
