Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"4,779E+04",70.0,0.03,2468.7,52.644,0.021,12.391,0.502,0.14856
2,357.9,"4,794E+04",70.0,0.0426,2477.8,46.155,0.019,12.407,0.501,0.14876
3,462,"4,804E+04",70.0,0.0605,2489.8,42.166,0.017,12.456,0.5,0.14934
4,535.3,"4,811E+04",70.0,0.0859,2499.3,39.1,0.016,12.5,0.5,0.14987
5,586.9,"4,817E+04",70.0,0.122,2508.5,36.911,0.015,12.545,0.5,0.1504
6,623.2,"4,82E+04",70.0,0.173,2517.5,35.253,0.014,12.589,0.5,0.15093
7,648.8,"4,823E+04",70.0,0.246,2526.4,34.118,0.014,12.633,0.5,0.15147
8,666.9,"4,825E+04",70.0,0.349,2535.3,34.558,0.014,12.678,0.5,0.152
9,679.5,"4,826E+04",70.0,0.496,2544.1,34.396,0.014,12.722,0.5,0.15253
10,688.5,"4,827E+04",70.0,0.704,2552,36.28,0.014,12.761,0.5,0.153
11,694.8,"4,827E+04",70.0,1,2560.5,36.336,0.014,12.804,0.5,0.15351
