Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,3221,10.0,0.03,1.1627,1.1764,1.012,0.0083012,0.502,9.9527e-05
2,357.9,3369,10.0,0.0426,1.2823,1.5689,1.224,0.010145,0.501,0.00012163
3,462,3473,10.0,0.0605,1.4414,2.0492,1.422,0.012532,0.5,0.00015026
4,535.3,3547,10.0,0.0859,1.6874,2.6468,1.569,0.015697,0.5,0.0001882
5,586.9,3598,10.0,0.122,2.0426,3.3532,1.642,0.019633,0.5,0.00023539
6,623.2,3635,10.0,0.173,2.5192,4.2261,1.678,0.0246,0.5,0.00029494
7,648.8,3660,10.0,0.246,3.1708,5.2681,1.661,0.030744,0.5,0.0003686
8,666.9,3678,10.0,0.349,4.0535,6.5282,1.610,0.038421,0.5,0.00046066
9,679.5,3691,10.0,0.496,5.2209,7.9959,1.532,0.047747,0.5,0.00057247
10,688.5,3700,10.0,0.704,6.1594,8.9325,1.450,0.054251,0.5,0.00065045
11,694.8,3706,10.0,1,8.2615,10.864,1.315,0.068241,0.5,0.00081818
