Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"3,293E+04",50.0,0.03,361.8,6.8901,0.019,1.8161,0.502,0.021774
2,357.9,"3,308E+04",50.0,0.0426,367.02,6.1451,0.017,1.8378,0.501,0.022034
3,462,"3,319E+04",50.0,0.0605,371.05,5.663,0.015,1.8563,0.5,0.022256
4,535.3,"3,326E+04",50.0,0.0859,374.18,5.3134,0.014,1.8714,0.5,0.022437
5,586.9,"3,331E+04",50.0,0.122,376.62,5.0694,0.013,1.8834,0.5,0.022581
6,623.2,"3,335E+04",50.0,0.173,378.55,4.8936,0.013,1.8929,0.5,0.022695
7,648.8,"3,337E+04",50.0,0.246,380.25,4.7424,0.012,1.9014,0.5,0.022797
8,666.9,"3,339E+04",50.0,0.349,381.76,4.7123,0.012,1.9089,0.5,0.022887
9,679.5,"3,34E+04",50.0,0.496,383.08,4.6928,0.012,1.9156,0.5,0.022967
10,688.5,"3,341E+04",50.0,0.704,384.01,4.8251,0.013,1.9202,0.5,0.023022
11,694.8,"3,342E+04",50.0,1,385.6,4.8813,0.013,1.9282,0.5,0.023118
