Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,808E+04",30.0,0.03,1.1802,0.73943,0.627,0.00699,0.502,8.3807e-05
2,357.9,"1,823E+04",30.0,0.0426,1.2779,0.955,0.747,0.0079873,0.501,9.5764e-05
3,462,"1,833E+04",30.0,0.0605,1.4164,1.2528,0.884,0.0094589,0.5,0.00011341
4,535.3,"1,84E+04",30.0,0.0859,1.5614,1.5802,1.012,0.011109,0.5,0.00013319
5,586.9,"1,845E+04",30.0,0.122,1.7388,1.968,1.132,0.013131,0.5,0.00015743
6,623.2,"1,849E+04",30.0,0.173,1.9884,2.4502,1.232,0.015778,0.5,0.00018917
7,648.8,"1,852E+04",30.0,0.246,2.3255,3.0227,1.300,0.019069,0.5,0.00022863
8,666.9,"1,853E+04",30.0,0.349,2.7908,3.7246,1.335,0.023271,0.5,0.00027901
9,679.5,"1,855E+04",30.0,0.496,3.3974,4.5493,1.339,0.028389,0.5,0.00034038
10,688.5,"1,856E+04",30.0,0.704,3.8722,5.0236,1.297,0.031714,0.5,0.00038024
11,694.8,"1,856E+04",30.0,1,5.1143,6.1434,1.201,0.039968,0.5,0.0004792
