Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,551E+04",40.0,0.03,28.553,1.3444,0.047,0.14346,0.502,0.0017201
2,357.9,"2,565E+04",40.0,0.0426,29.465,1.4634,0.050,0.1477,0.501,0.0017709
3,462,"2,576E+04",40.0,0.0605,30.217,1.634,0.054,0.15137,0.5,0.0018149
4,535.3,"2,583E+04",40.0,0.0859,30.818,1.8426,0.060,0.15439,0.5,0.001851
5,586.9,"2,588E+04",40.0,0.122,31.34,2.0992,0.067,0.15706,0.5,0.001883
6,623.2,"2,592E+04",40.0,0.173,31.836,2.4032,0.075,0.15964,0.5,0.001914
7,648.8,"2,594E+04",40.0,0.246,32.357,2.7754,0.086,0.16238,0.5,0.0019469
8,666.9,"2,596E+04",40.0,0.349,32.883,3.2135,0.098,0.1652,0.5,0.0019806
9,679.5,"2,598E+04",40.0,0.496,33.522,3.7347,0.111,0.16865,0.5,0.002022
10,688.5,"2,598E+04",40.0,0.704,33.964,4.0139,0.118,0.171,0.5,0.0020502
11,694.8,"2,599E+04",40.0,1,35.151,4.7373,0.135,0.17735,0.5,0.0021263
