Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,436E+04",25.0,0.03,0.95321,0.69859,0.733,0.0059313,0.502,7.1114e-05
2,357.9,"1,451E+04",25.0,0.0426,1.0115,0.94537,0.935,0.0069317,0.501,8.3108e-05
3,462,"1,462E+04",25.0,0.0605,1.098,1.2324,1.122,0.0082567,0.5,9.8994e-05
4,535.3,"1,469E+04",25.0,0.0859,1.2079,1.5971,1.322,0.010014,0.5,0.00012006
5,586.9,"1,474E+04",25.0,0.122,1.3876,2.0478,1.476,0.012369,0.5,0.0001483
6,623.2,"1,478E+04",25.0,0.173,1.6246,2.5762,1.586,0.015229,0.5,0.00018258
7,648.8,"1,48E+04",25.0,0.246,1.9689,3.2263,1.639,0.018898,0.5,0.00022658
8,666.9,"1,482E+04",25.0,0.349,2.4589,4.0311,1.639,0.023609,0.5,0.00028307
9,679.5,"1,483E+04",25.0,0.496,3.1125,4.9931,1.604,0.029419,0.5,0.00035272
10,688.5,"1,484E+04",25.0,0.704,3.6534,5.5765,1.526,0.033333,0.5,0.00039965
11,694.8,"1,485E+04",25.0,1,5.0184,6.8898,1.373,0.042619,0.5,0.00051098
