Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"5,522E+04",80.0,0.03,3942.2,110.51,0.028,19.788,0.502,0.23725
2,357.9,"5,536E+04",80.0,0.0426,3950.6,95.546,0.024,19.783,0.501,0.23719
3,462,"5,547E+04",80.0,0.0605,3969,87.935,0.022,19.858,0.5,0.23809
4,535.3,"5,554E+04",80.0,0.0859,3981.7,82.123,0.021,19.915,0.5,0.23877
5,586.9,"5,559E+04",80.0,0.122,4000,76.524,0.019,20.004,0.5,0.23984
6,623.2,"5,563E+04",80.0,0.173,4017.5,71.736,0.018,20.091,0.5,0.24088
7,648.8,"5,566E+04",80.0,0.246,4031.1,70.57,0.018,20.159,0.5,0.24169
8,666.9,"5,567E+04",80.0,0.349,4045.2,69.193,0.017,20.229,0.5,0.24254
9,679.5,"5,569E+04",80.0,0.496,4061.4,70.151,0.017,20.31,0.5,0.24351
10,688.5,"5,57E+04",80.0,0.704,4073.7,73.368,0.018,20.372,0.5,0.24425
11,694.8,"5,57E+04",80.0,1,4089.6,74.816,0.018,20.451,0.5,0.2452
