Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,065E+04",20.0,0.03,1.0506,0.80967,0.771,0.006657,0.502,7.9814e-05
2,357.9,"1,08E+04",20.0,0.0426,1.1338,1.0845,0.957,0.0078553,0.501,9.4181e-05
3,462,"1,09E+04",20.0,0.0605,1.2203,1.4308,1.173,0.0094067,0.5,0.00011278
4,535.3,"1,097E+04",20.0,0.0859,1.3655,1.8301,1.340,0.011419,0.5,0.0001369
5,586.9,"1,103E+04",20.0,0.122,1.5738,2.3595,1.499,0.014182,0.5,0.00017003
6,623.2,"1,106E+04",20.0,0.173,1.8698,2.9935,1.601,0.017648,0.5,0.00021159
7,648.8,"1,109E+04",20.0,0.246,2.2722,3.7544,1.652,0.021942,0.5,0.00026308
8,666.9,"1,111E+04",20.0,0.349,2.8498,4.6876,1.645,0.027429,0.5,0.00032887
9,679.5,"1,112E+04",20.0,0.496,3.6349,5.7931,1.594,0.034195,0.5,0.00040999
10,688.5,"1,113E+04",20.0,0.704,4.2584,6.4767,1.521,0.038756,0.5,0.00046467
11,694.8,"1,113E+04",20.0,1,5.8093,7.9929,1.376,0.049405,0.5,0.00059234
