Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"3,665E+04",55.0,0.03,758.79,14.851,0.020,3.8088,0.502,0.045666
2,357.9,"3,68E+04",55.0,0.0426,760.74,12.998,0.017,3.8093,0.501,0.045671
3,462,"3,69E+04",55.0,0.0605,763.09,11.597,0.015,3.8175,0.5,0.045771
4,535.3,"3,697E+04",55.0,0.0859,765.4,10.537,0.014,3.8279,0.5,0.045895
5,586.9,"3,702E+04",55.0,0.122,767.81,9.6011,0.013,3.8395,0.5,0.046034
6,623.2,"3,706E+04",55.0,0.173,770,8.9391,0.012,3.8503,0.5,0.046163
7,648.8,"3,709E+04",55.0,0.246,772.08,8.3375,0.011,3.8606,0.5,0.046287
8,666.9,"3,71E+04",55.0,0.349,773.98,7.8581,0.010,3.8701,0.5,0.046401
9,679.5,"3,712E+04",55.0,0.496,775.79,7.4437,0.010,3.8791,0.5,0.046509
10,688.5,"3,713E+04",55.0,0.704,778.01,7.9242,0.010,3.8903,0.5,0.046642
11,694.8,"3,713E+04",55.0,1,780.02,7.6864,0.010,3.9003,0.5,0.046762
