Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,6935,15.0,0.03,1.1546,0.96302,0.834,0.0075461,0.502,9.0474e-05
2,357.9,7083,15.0,0.0426,1.2524,1.2901,1.030,0.009002,0.501,0.00010793
3,462,7187,15.0,0.0605,1.3608,1.7038,1.252,0.010907,0.5,0.00013077
4,535.3,7260,15.0,0.0859,1.5563,2.1865,1.405,0.013421,0.5,0.00016091
5,586.9,7312,15.0,0.122,1.8184,2.7932,1.536,0.016665,0.5,0.00019981
6,623.2,7348,15.0,0.173,2.1944,3.5727,1.628,0.020964,0.5,0.00025135
7,648.8,7374,15.0,0.246,2.673,4.4392,1.661,0.025909,0.5,0.00031064
8,666.9,7392,15.0,0.349,3.3689,5.5069,1.635,0.032278,0.5,0.000387
9,679.5,7404,15.0,0.496,4.2884,6.7883,1.583,0.040147,0.5,0.00048134
10,688.5,7413,15.0,0.704,5.0269,7.5791,1.508,0.045473,0.5,0.0005452
11,694.8,7420,15.0,1,6.8188,9.2887,1.362,0.057614,0.5,0.00069076
