Test:	mc_1-5_tempramp_10_0-5
Result:	Temperature ramp
Interval:	1
Point No.	Time	Test Time	Temperature	Storage Modulus	Loss Modulus	Loss Factor	Complex Viscosity	Gap	Normal Force	Torque	Status
											
	[s]	[s]	[°C]	[Pa]	[Pa]	[1]	[mPa·s]	[mm]	[N]	[µN·m]	
130	16144,713	1,736E+04	15,38	50,141	37,077	0,739	6236	0,000	0,06	3,7384	TruStrain™
131	16204,288	1,742E+04	14,89	50,09	37,628	0,751	6264,9	0,000	0,02	3,7556	TruStrain™
132	16263,862	1,748E+04	14,39	50,151	38,132	0,76	6300,1	0,000	0,08	3,7768	TruStrain™
133	16323,437	1,754E+04	13,89	50,31	38,675	0,769	6345,8	0,000	0,17	3,8041	TruStrain™
134	16383,011	1,76E+04	13,40	50,613	39,261	0,776	6405,6	0,000	0,29	3,84	TruStrain™
135	16442,585	1,766E+04	12,91	50,908	39,818	0,782	6463	0,000	0,08	3,8744	TruStrain™
136	16502,162	1,772E+04	12,41	51,303	40,389	0,787	6529,4	0,000	0,00	3,9142	TruStrain™
137	16561,736	1,778E+04	11,92	51,806	40,974	0,791	6605	0,000	0,06	3,9596	TruStrain™
138	16621,310	1,784E+04	11,42	52,344	41,557	0,794	6683,5	0,000	0,14	4,0066	TruStrain™
139	16680,884	1,79E+04	10,93	52,931	42,135	0,796	6765,4	0,000	0,25	4,0557	TruStrain™
140	16740,458	1,796E+04	10,43	53,615	42,724	0,797	6855,6	0,000	0,21	4,1097	TruStrain™
141	16800,033	1,802E+04	9,94	54,321	43,328	0,798	6948,5	0,000	0,19	4,1654	TruStrain™

