Test:	mc_1-5_tempramp_10_1
Result:	Temperature ramp
Interval:	1
Point No.	Time	Test Time	Temperature	Storage Modulus	Loss Modulus	Loss Factor	Complex Viscosity	Gap	Normal Force	Torque	Status
											
	[s]	[s]	[°C]	[Pa]	[Pa]	[1]	[mPa·s]	[mm]	[N]	[µN·m]	
1	59,155	1242	10,01	42,712	38,478	0,901	5748,8	0,000	0,11	3,4463	TruStrain™
2	118,310	1302	10,54	42,675	38,462	0,901	5745	0,000	0,17	3,444	TruStrain™
3	177,465	1361	11,67	42,443	38,315	0,903	5717,9	0,000	0,24	3,4278	TruStrain™
4	236,620	1420	12,90	41,919	38,003	0,907	5658,1	0,000	0,33	3,3919	TruStrain™
5	295,775	1479	14,06	41,227	37,604	0,912	5580,1	0,000	0,05	3,3452	TruStrain™
6	354,930	1538	15,16	40,395	37,11	0,919	5485,3	0,000	0,04	3,2883	TruStrain™
7	414,085	1597	16,23	39,488	36,566	0,926	5381,8	0,000	0,08	3,2263	TruStrain™
8	473,240	1657	17,26	38,544	35,97	0,933	5272,1	0,000	0,13	3,1605	TruStrain™
9	532,395	1716	18,29	37,558	35,357	0,941	5158,2	0,000	0,20	3,0922	TruStrain™
10	591,550	1775	19,32	36,536	34,72	0,95	5040,2	0,000	0,29	3,0215	TruStrain™
11	650,705	1834	20,35	35,512	34,082	0,96	4922,1	0,000	0,09	2,9507	TruStrain™
12	709,860	1893	21,36	34,494	33,412	0,969	4802,3	0,000	0,17	2,8789	TruStrain™
13	769,015	1952	22,38	33,472	32,751	0,978	4682,9	0,000	0,22	2,8073	TruStrain™
14	828,169	2011	23,37	32,464	32,088	0,988	4564,6	0,000	0,28	2,7364	TruStrain™
15	887,324	2071	24,38	31,47	31,419	0,998	4446,9	0,000	0,34	2,6658	TruStrain™
16	946,479	2130	25,38	30,495	30,746	1,01	4330,4	0,000	0,16	2,596	TruStrain™
17	1005,634	2189	26,40	29,524	30,074	1,02	4214,4	0,000	0,04	2,5265	TruStrain™
18	1064,789	2248	27,40	28,584	29,418	1,03	4101,8	0,000	0,08	2,459	TruStrain™
19	1123,944	2307	28,41	27,672	28,773	1,04	3992	0,000	0,14	2,3931	TruStrain™
20	1183,099	2366	29,41	26,761	28,113	1,05	3881,4	0,000	0,21	2,3268	TruStrain™
21	1242,254	2426	30,40	25,898	27,455	1,06	3774,3	0,000	0,31	2,2626	TruStrain™
22	1301,409	2485	31,41	25,048	26,825	1,07	3670,1	0,000	0,13	2,2002	TruStrain™
23	1360,564	2544	32,42	24,218	26,19	1,08	3567,1	0,000	0,03	2,1384	TruStrain™
24	1419,718	2603	33,42	23,409	25,557	1,09	3465,8	0,000	0,07	2,0777	TruStrain™
25	1478,873	2662	34,42	22,622	24,931	1,1	3366,5	0,000	0,13	2,0181	TruStrain™
26	1538,028	2721	35,43	21,864	24,311	1,11	3269,7	0,000	0,34	1,9601	TruStrain™
27	1597,183	2780	36,41	21,139	23,683	1,12	3174,5	0,000	0,20	1,903	TruStrain™
28	1656,338	2840	37,42	20,435	23,06	1,13	3081,2	0,000	0,04	1,8471	TruStrain™
29	1715,493	2899	38,43	19,736	22,453	1,14	2989,4	0,000	0,07	1,7921	TruStrain™
30	1774,648	2958	39,43	19,109	21,825	1,14	2900,9	0,000	0,13	1,739	TruStrain™
31	1833,803	3017	40,43	18,483	21,213	1,15	2813,5	0,000	0,20	1,6867	TruStrain™
32	1892,958	3076	41,44	17,929	20,586	1,15	2729,9	0,000	0,31	1,6365	TruStrain™
33	1952,113	3135	42,44	17,447	19,982	1,15	2652,7	0,000	0,11	1,5902	TruStrain™
34	2011,268	3195	43,43	17,034	19,388	1,14	2580,8	0,000	0,03	1,5471	TruStrain™
35	2070,423	3254	44,44	16,76	18,81	1,12	2519,4	0,000	0,08	1,5103	TruStrain™
36	2129,578	3313	45,44	16,61	18,264	1,1	2468,7	0,000	0,14	1,48	TruStrain™
