Temperature,V,Concentration,Process
15.0,3.1038906095276504,1.0,cooling
20.0,3.271334135170049,1.0,cooling
25.0,4.230277716424207,1.0,cooling
30.0,59.058083026450845,1.0,cooling
35.0,169.6881213314548,1.0,cooling
40.0,328.0986924176572,1.0,cooling
45.0,504.8104124093819,1.0,cooling
50.0,693.7538639762946,1.0,cooling
55.0,886.6477117365122,1.0,cooling
60.0,1085.5424517348865,1.0,cooling
65.0,1286.153880604042,1.0,cooling
70.0,1460.6494356225844,1.0,cooling
75.0,1626.1920509045153,1.0,cooling
