Temperature_H,Alpha_H,Tan_delta_H,V_H,Temperature_C,Alpha_C,Tan_delta_C,V_C
15.0,0.7251420192322148,2.1704410560733916,2.982152297770917,15.0,0.5824119458529521,1.2993273009218607,3.1038906095276504
20.0,0.7099915376114707,2.041185289413813,2.446226788419217,20.0,0.5067311574991157,1.0213733376566212,3.271334135170049
25.0,0.6616158805228923,1.7007453151577683,2.010904676886346,25.0,0.3317153823987027,0.573966598316289,4.230277716424207
30.0,0.57933931632607,1.2864332825803755,1.7159659353623495,30.0,0.01938878081223464,0.030465245683936465,59.058083026450845
35.0,0.4776932501133174,0.9322668814083787,1.895562952870651,35.0,0.009485809334865833,0.014901377268422139,169.6881213314548
45.0,0.019784831859968897,0.03108795050217005,24.4874369345422,40.0,0.008321756136887555,0.01307252855513326,328.0986924176572
50.0,0.009958711388565068,0.015644383385278533,104.0528285242257,45.0,0.008129558973408238,0.012770575546804804,504.8104124093819
55.0,0.00786266860712001,0.012351278988772708,298.00873142090427,50.0,0.008192451746700214,0.012869383520761384,693.7538639762946
60.0,0.009885430180654487,0.015529245567143664,546.0895319459781,55.0,0.007223340853848044,0.01134688421998191,886.6477117365122
65.0,0.010619973527043674,0.016683363000892938,838.0269585417938,60.0,0.00697702533189165,0.010959924566849591,1085.5424517348865
70.0,0.012049595020852842,0.018929720168161912,1127.3255762679157,65.0,0.007924631419443256,0.012448624912336876,1286.153880604042
75.0,0.013801541900860952,0.02168280837914849,1435.6586265872575,70.0,0.008552746962054738,0.013435431838101537,1460.6494356225844
80.0,0.015005241773894845,0.023574544461632607,1769.3112712117168,75.0,0.010881034432014327,0.017093553478409414,1626.1920509045153
