Temperature,V,Concentration,Process
15.0,2.982152297770917,1.0,heating
20.0,2.446226788419217,1.0,heating
25.0,2.010904676886346,1.0,heating
30.0,1.7159659353623495,1.0,heating
35.0,1.895562952870651,1.0,heating
45.0,24.4874369345422,1.0,heating
50.0,104.0528285242257,1.0,heating
55.0,298.00873142090427,1.0,heating
60.0,546.0895319459781,1.0,heating
65.0,838.0269585417938,1.0,heating
70.0,1127.3255762679157,1.0,heating
75.0,1435.6586265872575,1.0,heating
80.0,1769.3112712117168,1.0,heating
